Past_PatTrans_Meth_Yr_Round,Pasture,Patch,Past_Pat,Past_Pat_Yr,Past_PatTrans,Past_PatTrans_Method,SweepVac,Round,Year,StartTime,Temp,Winds,OrdinalSamplingDate,Hemipterans,Hoppers,Zoophages,Phytophage,Hymenoptera,Dipt,Aphi,Penta,Heteroptera,Past_Pat_ImageYear,Fescue,Robel,Forb,WSG,Legume,Woody,Bare,Litter,Litter_Depth,HerbProp,CropProp,TreeProp,WaterProp,ImpSurProp,Tree_kmHa,ImageYear,Herb_ha,Crop_ha,ImpSur_ha,Tree_ha,Tree_mHa,Water_ha,FireTreat,TSF,HerbExp_14-18,HerbTreat_14-18,HerbYesNo_alltime,TSH,GrazingTreat,GrazingYesNo,Cole_Ad,Lepi_Ad,Lepi_La,Cole_La,Orth,Aran
235_C1_Sweep_2015_1,235,C,235_C,235_C_2015,235_C1,235_C1_Sweep,Sweep,1,2015,12.35,75,1,180,42,24,0,42,5,18,0,0,18,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,4,1,0,0,7,4
235_C1_Sweep_2015_2,235,C,235_C,235_C_2015,235_C1,235_C1_Sweep,Sweep,2,2015,14.68,80,1,211,82,32,0,82,53,8,0,0,50,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,2,2,1,0,8,20
235_C1_Sweep_2016_1,235,C,235_C,235_C_2016,235_C1,235_C1_Sweep,Sweep,1,2016,13.32,85,0,179,82,66,0,82,109,22,0,0,16,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,13,0,2,0,19,8
235_C1_Sweep_2016_2,235,C,235_C,235_C_2016,235_C1,235_C1_Sweep,Sweep,2,2016,10.7,85,4,208,16,15,0,16,38,3,0,0,1,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,6,0,0,0,40,6
235_C1_Sweep_2017_1,235,C,235_C,235_C_2017,235_C1,235_C1_Sweep,Sweep,1,2017,13.02,80,8,175,69,64,1,68,22,9,0,1,6,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,13,0,0,0,53,2
235_C1_Sweep_2017_2,235,C,235_C,235_C_2017,235_C1,235_C1_Sweep,Sweep,2,2017,10.67,75,1,205,14,9,2,12,193,4,0,2,5,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,2,3,1,0,103,11
235_C1_Vacuum_2015_1,235,C,235_C,235_C_2015,235_C1,235_C1_Vacuum,Vacuum,1,2015,12.35,75,1,180,67,40,1,66,11,40,0,0,27,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,8,0,5,0,11,3
235_C1_Vacuum_2015_2,235,C,235_C,235_C_2015,235_C1,235_C1_Vacuum,Vacuum,2,2015,14.68,80,1,211,53,37,0,53,7,33,0,0,16,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,1,1,1,0,10,6
235_C1_Vacuum_2016_1,235,C,235_C,235_C_2016,235_C1,235_C1_Vacuum,Vacuum,1,2016,13.32,85,0,179,132,115,1,131,21,14,4,0,13,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,7,0,0,0,43,3
235_C1_Vacuum_2016_2,235,C,235_C,235_C_2016,235_C1,235_C1_Vacuum,Vacuum,2,2016,10.7,85,4,208,51,51,0,51,4,4,0,0,0,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,1,2,0,1,23,2
