Past_PatTrans_Meth_Yr_Round,SweepVac,Year,Past_PatTrans_Year,Pasture,Pasture_patch_year,Pasture_patch,Temperature,Winds,OrdinalSamplingDate,HerbYesNo_alltime,TSH,HerbTreat_14-18,GrazingYesNo,GrazingTreat,StartTime,Order,Biomass_mg,Length,Width
KLT_W2_Sweep_2016_2,Sweep,2016,KLT_W_2016,KLT,KLT_W_2016,KLT_W,80,1,211,No,,,No,None,12.05,orth,342.2441257,39,
RIN_W1_Sweep_2017_2,Sweep,2017,RIN_W_2017,RIN,RIN_W_2017,RIN_W,75,4,206,No,,,No,None,10.1,orth,241.2084363,34,
PAW_S1_Sweep_2015_2,Sweep,2015,PAW_S_2015,PAW,PAW_S_2015,PAW_S,75,1,215,No,,,No,None,10.65,lepi_ad,223.2591519,17.5,14
RIS_C2_Sweep_2017_2,Sweep,2017,RIS_C_2017,RIS,RIS_C_2017,RIS_C,80,8,188,No,,,Yes,SLS,11.57,orth,206.658703,32,
PYN_W1_Vacuum_2016_2,Vacuum,2016,PYN_W_2016,PYN,PYN_W_2016,PYN_W,95,1,205,No,,,Yes,IES,9.98,orth,198.5240685,31.5,
KLT_E2_Sweep_2016_2,Sweep,2016,KLT_E_2016,KLT,KLT_E_2016,KLT_E,80,1,211,No,,,No,None,11.68,orth,190.5871317,31,
KLT_W2_Sweep_2015_2,Sweep,2015,KLT_W_2015,KLT,KLT_W_2015,KLT_W,80,1,193,No,,,No,None,11.87,orth,190.5871317,31,
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,175.2994099,30,
RNR_E1_Vacuum_2015_2,Vacuum,2015,RNR_E_2015,RNR,RNR_E_2015,RNR_E,80,0,214,No,,,No,None,10.5,orth,175.2994099,30,
RC2_C1_Sweep_2017_2,Sweep,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,75,4,206,Yes,2.5,Spr,No,None,12.65,orth,160.7815271,29,
PAW_W1_Vacuum_2015_2,Vacuum,2015,PAW_W_2015,PAW,PAW_W_2015,PAW_W,75,1,215,No,,,No,None,11.08,orth,160.7815271,29,
STE_N2_Sweep_2016_1,Sweep,2016,STE_N2_2016,STE,STE_N2_2016,STE_N,85,1,187,No,0.5,Con,Yes,SLS,10.98,lepi_ad,151.2018619,37.5,5
RIE_W1_Sweep_2016_2,Sweep,2016,RIE_W_2016,RIE,RIE_W_2016,RIE_W,95,1,206,Yes,0.5,,No,None,14.6,orth,147.0192607,28,
